Event ID,Event Name,Event Size,Campus,Number of Weeks,Weeks,Week List,Room,Building,Timeslot,Duration (minutes),Assigned_RoomID,Assigned_Room_Number,Assigned_Campus,Assigned_Building,Assigned_Capacity,Assigned_Room_Type,Campus_Changed,Capacity_Utilization,Overcapacity
E:I87GPZPS1V,ELE - Academic Writing For In-Sessional Study (AWIS) Group 21,14.0,Central,4,"17, 18, 19, 20","[17, 18, 19, 20]",0008_-1_B.153,Minto House,Friday 15:00,110,0112_-1_B.06,B.06,Central,Chrystal MacMillan Building,25,Classroom Style,False,56.0,False
E:AROXLFT2KW,ELE - Academic Writing For In-Sessional Study (AWIS) Group 20,14.0,Central,4,"17, 18, 19, 20","[17, 18, 19, 20]",0008_-1_B.152,Minto House,Friday 14:00,110,0551_01_1.19,1.19,Holyrood,Patersons Land,40,Classroom Style,True,35.0,False
E:JXXLV3P4A7,ELE - Seminar Discussion Skills (SDS) Group 8,16.0,Central,4,"17, 18, 19, 20","[17, 18, 19, 20]",0201_01_1.01,Appleton Tower,Tuesday 15:00,110,0113_00_G.16,G.16,Central,"Medical School, Teviot",45,Classroom Style,False,35.56,False
E:FBK9NGCTWA,IFP - Introducing Philosophy C,20.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_00_G43,Patersons Land,Wednesday 11:00,80,0591_-1_B1.03,B1.03,Holyrood,Outreach Centre,16,Boardroom Style,False,125.0,True
E:RI83KKASBE,ELE - Intercultural Communication Skills (ICS) Group 4,16.0,Central,4,"17, 18, 19, 20","[17, 18, 19, 20]",0113_00_G.203,"Medical School, Teviot",Thursday 10:00,120,0003_01_1.03,1.03,Central,7-8 Chambers Street,24,Classroom Style,False,66.67,False
E:HJJRFJZOEU,ELE - Seminar Discussion Skills (SDS) Group 7,16.0,Holyrood,4,"17, 18, 19, 20","[17, 18, 19, 20]",0551_-1M_M14,Patersons Land,Wednesday 15:00,110,0254_01_1.08,1.08,Central,24 Buccleuch Place,16,Boardroom Style,True,100.0,False
E:IKRMPQ8BJF,ELE - Seminar Discussion Skills (SDS) Group 6,16.0,Holyrood,4,"17, 18, 19, 20","[17, 18, 19, 20]",0551_-1M_M14,Patersons Land,Tuesday 14:00,110,0558_03_3.4,3.4,Holyrood,Charteris Land,33,Classroom Style,False,48.48,False
E:66NN7QQEPN,IFP - FEAP Plus C,16.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_-1M_M1,Patersons Land,Tuesday 09:00,100,0003_00_G.03,G.03,Central,7-8 Chambers Street,18,Classroom Style,True,88.89,False
E:URGR2KQ9FJ,IFP - Introduction to Psychology B,20.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0564_02_2.14,St Leonards Land,Thursday 15:00,80,0103_01_1.B09,1.B09,Central,Forresthill,16,Boardroom Style,True,125.0,True
E:KAT3CJV16O,IFP - Introducing Philosophy A,20.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_-1M_M2,Patersons Land,Wednesday 11:00,80,0214_00_G.26,G.26,Central,16-20 George Square,12,Boardroom Style,True,166.67,True
E:35KDI5VTHA-00001,British Sign Language Stage 1/02,15.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_00_G35,Patersons Land,Thursday 16:00,110,0558_04_4.02,4.02,Holyrood,Charteris Land,24,Classroom Style,False,62.5,False
E:8JPUHLYD53,IFP - Introducing Philosophy B,20.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_-1_LG48,Patersons Land,Tuesday 13:00,80,0103_01_1.B10,1.B10,Central,Forresthill,20,Classroom Style,True,100.0,False
